10.5|20.3|3.3|20.4|-48.3|0
68.1|29.5|31.8|15|34.5|0
22.6|30.5|51.8|38.7|6.1|0
14|43.3|58.1|13.8|60.4|0
5.4|23.2|19|5.7|-32.3|0
13.4|1.4|38.2|55.1|-26.6|0
37.1|42.7|56.8|20.4|52.5|0
9.1|40.6|33.4|4.3|-2.2|0
0.7|51.7|9.5|24.8|-14.7|0
26.7|64.8|14.9|6.5|-15.4|0
10.3|9.3|84.2|33.6|8.1|0
35.6|58.4|50.9|37.2|13.5|0
58.1|39.1|21.4|30.5|53.2|0
0.1|39.7|43.1|48.8|47.3|0
24.1|5.8|36.7|22.4|74|0
13.9|80.3|29.5|2.2|40.6|0
27.3|41.1|53.8|52.8|9.3|0
42|50.3|24|40.2|-58.8|0
11|9.5|81.1|15.6|25.6|0
38|4|29.6|53.8|-0.2|0
73.8|20.2|9.6|23.2|23.1|0
51.3|18.7|50|12.1|-51.8|0
69.3|0.1|5.7|26|-3.7|0
63.9|2.2|9.8|49.9|40|0
3.4|23.4|52.2|19.1|-66.2|0
31.9|0.1|35|79.9|28.1|0
51.7|49.4|52|1|15.6|0
37.9|8.4|6.5|78.1|-6.4|0
28.2|49.9|27.5|38.9|-33.9|0
50.9|31.4|43.8|33.3|4.4|0
3.7|27.4|53.4|2.2|9.1|0
18.4|40.9|10.4|13.6|16.7|0
14.3|2.9|4|34.4|25.9|0
19.5|12.6|92.8|8.3|2.1|0
40.8|15.6|55.5|14.3|-49.6|0
35.4|9.9|39.4|31.1|13.3|0
44.1|40.5|54.2|40.7|26|0
81.2|38.3|22.8|28.6|12.7|0
61.5|10.3|27.3|67.4|-10.7|0
45.9|36.3|9.9|26.5|-37.9|0
4.2|27.2|48.6|15.5|50.6|0
77|30.4|20.5|13.9|-11.9|0
2.6|27.4|54.3|24.6|-40.4|0
31.9|16|37.5|20.1|63.5|0
30.2|29.8|34.3|69.1|9.3|0
49.6|10.7|20|3.3|-33.7|0
25|21.6|5.7|24.3|-60.8|0
25|41.5|1.7|1.5|70.9|0
61.2|53.1|29.1|14.5|-24.4|0
58.3|24.6|45.9|13|-21.6|0
190.8|8.7|25.5|56.8|13.7|1
207.8|85.6|9.1|40.7|26.9|1
215.4|31.6|59.8|27.9|19.6|1
