12,421;125,285;93,494;0
24,153;115,553;88,872;0
20,312;126,822;88,737;0
25,65;118,95;103,854;0
15,274;114,111;92,024;0
18,038;121,909;85,469;0
12,958;123,481;98,176;0
20,116;119,655;87,372;0
21,141;116,362;95,605;0
30,565;116,942;95,759;0
22,313;125,546;97,171;0
10,673;114,115;101,645;0
10,404;123,101;98,199;0
18,007;122,086;95,833;0
9,948;124,82;93,941;0
16,146;114,386;99,442;1
14,475;109,729;92,814;1
13,41;110,616;96,841;1
19,361;116,331;95,511;1
19,096;112,263;99,069;1
19,632;116,333;90,86;1
18,583;110,204;96,5;1
18,174;112,508;89,309;1
23,098;117,997;98,181;1
16,469;111,011;92,6;1
17,471;111,673;99,367;1
17,44;112,325;90,551;1
22,314;107,066;97,453;1
18,203;114,342;101,653;1
17,864;113,245;95,753;1
16,027;112,243;96,82;2
16,193;112,675;100,415;2
22,897;107,528;99,17;2
14,934;111,649;99,635;2
20,068;118,322;104,246;2
20,797;110,121;107,944;2
18,621;115,987;96,777;2
21,4;108,86;97,708;2
22,958;112,48;96,821;2
11,96;115,959;107,921;2
13,2;105,747;107,237;2
15,66;110,892;94,403;2
9,682;106,603;108,853;2
8,462;108,756;100,108;2
23,787;107,407;108,04;2
19,441;120,985;109,35;3
22,734;132,401;117,068;3
11,468;131,941;114,18;3
8,983;115,617;113,525;3
20,437;121,807;111,261;3
11,535;128,472;113,247;3
11,576;113,411;113,488;3
22,543;119,973;114,044;3
23,169;124,937;122,206;3
17,773;122,77;123,62;3
8,909;125,68;108,36;3
17,575;117,69;106,951;3
21,591;120,86;109,396;3
21,905;118,436;109,026;3
12,868;124,365;104,535;3
35,133;120,779;124,843;4
26,132;133,465;121,061;4
27,472;127,362;128,245;4
23,736;120,662;119,039;4
31,712;132,353;129,694;4
30,493;129,333;122,744;4
23,624;126,492;116,585;4
34,154;127,012;114,767;4
24,562;122,449;127,001;4
30,443;118,653;118,643;4
23,134;125,959;123,013;4
30,765;131,594;130,823;4
31,815;122,803;119,814;4
33,71;127,69;121,723;4
32,385;119,422;123,829;4
